fldPartNumber,fldPartDescription,fldStatus,fldManufacturerRef,fldPartsMasterRef
9L8Z 5493 A,INSULATOR ASY,2147483647,12,10
W701706 S440,NUT - ADJUSTING SCREW,1,12,10
DM5Z 1A043 A,NUT - WHEEL,1,12,10
DG 513,COIL ASY - IGNITION,0,3,1
JJ5Z 19A361 A,ELECTRONIC MODULE,0,12,10
DG9Z 7S004 A,CAP,1,12,10
3W4Z 6710 DA,GASKET - OIL PAN,1,12,10
BRS 181,SEAL,0,3,1
CXC 37 M,MOTORCRAFT WWF JUG 4L ,4,3,1
DM5Z 1A043 A,NUT - WHEEL,1,12,10
W708176 S437,NUT,1,12,10
CXC 37 M,MOTORCRAFT WWF JUG 4L ,4,3,1
CV6Z 6A051 C,HEATER ASY,1,3,1
FA 1948,ELEMENT ASY - AIR CL,1,3,1
164-R8073,KEY H75 4 BUTTON TRUNK,1,4,-1
5L8Z 4B416 AA,SEAL,1,12,10
DJ5Z 7811600 BA,LINER - LUGGAGE COMP,0,3,1
APL-300,NCACC LEATHER PROTECTION,1,4,-1
F4AZ 6701 A,SEAL ASY - CRANKSHAF,0,3,1
W520213 S440,NUT,1,12,10
CV6Z 9D289 S,TUBE ASY - FUEL VAPOUR SEPARAT,1,12,10
DG9Z 7S004 A,CAP,1,12,10
CXC 37 M,MOTORCRAFT WWF JUG 4L ,4,3,1
DG9Z 7S004 A,CAP,1,12,10
BRRF 398,ROTOR ASY - BRAKE,1,3,1
DG9Z 7S004 A,CAP,1,12,10
ACPZ 1012 HS,NCACC SOLID NUT M12X1.50 (41138FS),1,4,-1
CXC 37 M,MOTORCRAFT WWF JUG 4L ,4,3,1
FL 2017 B,FILTER ASY - ENGINE OIL - ELEM,1,12,10
DM5Z 1A043 A,NUT - WHEEL,1,12,10
CXT 10 LV6,MERCON LV - 1L,1,3,1
KV6Z 7K340 A,BUSHING,1,12,10
LJ6Z 7813300 BB,KIT - FLOOR CONTOUR,1,3,1
CXO 5W20 BSP,* 5W20 * PREMIUM OIL 1L,4,3,1
CLB 194,BULB,1,3,1
KV6Z 7K340 A,BUSHING,1,12,10
BAGM 48H6 760,BATTERY,1,12,10
CXT 10 LV6,MERCON LV - 1L,1,3,1
NX6Z 8A507 A,HOSE - WATER OUTLET,0,12,10
KV6Z 7K340 A,BUSHING,1,12,10
FP 70,POLLENFILTER,1,12,10
NUTBAG,wheel lock bag ,4,4,-1
LU5Z 17D547 B,PROCESSOR - WINDSHIE,1,3,1
CXO 5W20 BSP,* 5W20 * PREMIUM OIL 1L,4,3,1
